0.001982159415607075
         12408993 function calls (12406377 primitive calls) in 4.465 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:714(jpeg_factory)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:167(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:187(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:264(PngStream)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:483(PngImageFile)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:615(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:626(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:629(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:633(write)
        1    0.000    0.000    0.012    0.012 PngImagePlugin.py:637(_save)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(ChunkStream)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:59(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:142(<listcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:221(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:228(ImageFileDirectory)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:42(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:630(TiffImageFile)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:76(_Feature)
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
        4    0.000    0.000    0.097    0.024 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1043(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.072    0.072 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1219(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:124(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1536(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        2    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1898(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:250(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:263(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        5    0.000    0.000    0.003    0.001 __init__.py:301(namedtuple)
        1    0.000    0.000    0.079    0.079 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:345(_FuncPtr)
       21    0.000    0.000    0.000    0.000 __init__.py:364(<genexpr>)
       21    0.000    0.000    0.000    0.000 __init__.py:366(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:368(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:374(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:374(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:383(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:392(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:414(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:416(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        2    0.000    0.000    0.018    0.009 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:460(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:480(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:51(ImageHash)
        1    0.000    0.000    0.003    0.003 __init__.py:56(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:589(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:631(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:668(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:673(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:69(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:7(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:740(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:750(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:759(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:788(createLock)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:935(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:986(FileHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
       26    0.000    0.000    0.000    0.000 _binary.py:23(i8)
       26    0.000    0.000    0.000    0.000 _binary.py:52(i16be)
        6    0.000    0.000    0.000    0.000 _binary.py:69(o16be)
        5    0.000    0.000    0.000    0.000 _binary.py:73(o32be)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:135(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:419(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:426(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:434(keys)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:456(__init__)
       30    0.000    0.000    0.000    0.000 _collections_abc.py:475(__iter__)
       32    0.000    0.000    0.000    0.000 _collections_abc.py:555(popitem)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:567(clear)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:575(update)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:136(<genexpr>)
       59    0.000    0.000    0.000    0.000 _compat_pickle.py:137(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:336(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:162(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:152(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:248(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:441(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:448(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:455(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
     3434    0.001    0.000    0.003    0.000 _util.py:10(isStringType)
        4    0.000    0.000    0.000    0.000 _util.py:13(isPath)
        1    0.000    0.000    0.000    0.000 _util.py:22(deferred_error)
        1    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 _version.py:136(__lt__)
        1    0.000    0.000    0.000    0.000 _version.py:17(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        2    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        2    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        2    0.000    0.000    0.001    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      152    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        7    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        7    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
      135    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
     14/8    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       54    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.055    0.055 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1001(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1020(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1046(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1048(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1142(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1196(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1221(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:144(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1528(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1562(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1582(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:194(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:633(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:644(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:655(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:672(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:705(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:725(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:734(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:825(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:860(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:883(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:900(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:917(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:954(_AppendConstAction)
